:START_ID(HAPLOTYPE),:END_ID(HAPLOTYPE),:TYPE
5127,0,TOP
5128,1,TOP
5129,2,TOP
5130,3,TOP
5131,4,TOP
5132,5,TOP
5133,6,TOP
5133,3912,TOP
5134,1669,TOP
5134,4772,TOP
5134,848,TOP
5134,9,TOP
5134,1795,TOP
5134,1810,TOP
5134,7,TOP
5134,23,TOP
5134,1808,TOP
5135,8,TOP
5136,10,TOP
5136,1414,TOP
5137,11,TOP
5138,854,TOP
5138,1817,TOP
5138,1822,TOP
5138,4773,TOP
5138,1667,TOP
5138,1821,TOP
5138,12,TOP
5139,1811,TOP
5139,13,TOP
5140,14,TOP
5141,15,TOP
5142,16,TOP
5142,1796,TOP
5142,1809,TOP
5143,17,TOP
5143,1141,TOP
5144,18,TOP
5145,1146,TOP
5145,1798,TOP
5145,19,TOP
5146,20,TOP
5147,21,TOP
5148,22,TOP
5149,24,TOP
5150,25,TOP
5151,26,TOP
5152,27,TOP
5153,28,TOP
5154,588,TOP
5154,29,TOP
5155,591,TOP
5155,30,TOP
5156,31,TOP
5157,32,TOP
5158,33,TOP
5159,34,TOP
5159,2902,TOP
5160,592,TOP
5160,35,TOP
5161,36,TOP
5162,593,TOP
5162,37,TOP
5163,38,TOP
5164,2953,TOP
5164,39,TOP
5165,40,TOP
5166,41,TOP
5167,42,TOP
5168,43,TOP
5169,2078,TOP
5169,44,TOP
5170,45,TOP
5171,46,TOP
5172,47,TOP
5173,48,TOP
5174,49,TOP
5175,50,TOP
5176,51,TOP
5177,52,TOP
5178,53,TOP
5179,54,TOP
5180,55,TOP
5181,56,TOP
5182,57,TOP
5182,89,TOP
5183,82,TOP
5183,85,TOP
5183,60,TOP
5183,58,TOP
5184,59,TOP
5185,61,TOP
5186,62,TOP
5187,63,TOP
5188,64,TOP
5189,65,TOP
5190,66,TOP
5191,67,TOP
5192,68,TOP
5193,69,TOP
5194,80,TOP
5194,70,TOP
5194,86,TOP
5194,2550,TOP
5195,71,TOP
5196,72,TOP
5197,73,TOP
5198,74,TOP
5199,75,TOP
5199,1919,TOP
5200,1915,TOP
5200,76,TOP
5201,77,TOP
5202,78,TOP
5203,79,TOP
5203,3047,TOP
5203,3031,TOP
5204,81,TOP
5205,625,TOP
5205,95,TOP
5205,91,TOP
5205,83,TOP
5205,1727,TOP
5205,96,TOP
5205,94,TOP
5205,1181,TOP
5205,1217,TOP
5206,84,TOP
5207,87,TOP
5207,88,TOP
5208,102,TOP
5208,90,TOP
5209,93,TOP
5209,100,TOP
5209,92,TOP
5209,1184,TOP
5209,1729,TOP
5209,99,TOP
5209,98,TOP
5210,97,TOP
5210,3050,TOP
5211,101,TOP
5211,2551,TOP
5211,2547,TOP
5212,3028,TOP
5212,3051,TOP
5212,3032,TOP
5212,103,TOP
5213,104,TOP
5214,105,TOP
5215,106,TOP
5216,107,TOP
5216,109,TOP
5217,108,TOP
5218,112,TOP
5218,110,TOP
5219,154,TOP
5219,111,TOP
5220,120,TOP
5220,118,TOP
5220,113,TOP
5220,117,TOP
5221,158,TOP
5221,160,TOP
5221,114,TOP
5222,115,TOP
5222,125,TOP
5222,123,TOP
5222,119,TOP
5223,116,TOP
5224,133,TOP
5224,137,TOP
5224,149,TOP
5224,121,TOP
5224,145,TOP
5224,146,TOP
5224,140,TOP
5225,139,TOP
5225,159,TOP
5225,136,TOP
5225,148,TOP
5225,122,TOP
5225,134,TOP
5225,147,TOP
5226,131,TOP
5226,129,TOP
5226,124,TOP
5226,128,TOP
5227,135,TOP
5227,130,TOP
5227,126,TOP
5227,132,TOP
5228,127,TOP
5229,138,TOP
5229,153,TOP
5229,151,TOP
5230,141,TOP
5231,142,TOP
5232,143,TOP
5233,144,TOP
5234,150,TOP
5235,152,TOP
5236,155,TOP
5237,156,TOP
5238,157,TOP
5239,2480,TOP
5239,177,TOP
5239,161,TOP
5240,186,TOP
5240,162,TOP
5240,659,TOP
5240,657,TOP
5241,163,TOP
5241,2004,TOP
5242,164,TOP
5243,662,TOP
5243,180,TOP
5243,165,TOP
5244,166,TOP
5245,167,TOP
5246,168,TOP
5246,2006,TOP
5247,701,TOP
5247,694,TOP
5247,697,TOP
5247,682,TOP
5247,169,TOP
5248,170,TOP
5249,1595,TOP
5249,171,TOP
5250,172,TOP
5250,2052,TOP
5251,173,TOP
5252,696,TOP
5252,174,TOP
